student_id,total_submissions,avg_testcase_passed,max_testcase_passed,min_testcase_passed,scored_submissions,late_submissions,success_rate,scored_to_total_ratio,testcase_range,total_testcases_passed
00b6dd4fc7eb817e03708c532016ef30ce564a61,147,5504.149659863946,10000,0,46,0,37.443194965060854,0.3129251700680272,10000,15504.149659863946
00bef8afee8f3c595d535c9c03c490cac1a4f021,259,5488.552123552124,10000,0,78,0,21.19132094035569,0.30115830115830117,10000,15488.552123552123
01122b3ef7e59b84189e65985305f575d6bdf83c,195,5973.753846153846,10000,0,67,0,30.634635108481262,0.3435897435897436,10000,15973.753846153846
0134f9f410c65ad0e8c2254a7e9288670e02a183,100,5952.76,10000,0,47,0,59.5276,0.47,10000,15952.76
013de369c439ab0ead8aa7da64423aa395a8be39,107,6474.448598130841,10000,0,66,3,60.50886540309197,0.616822429906542,10000,16474.44859813084
014c59c6433fd764a0b08de6ffeb757eaf60aa73,199,5240.025125628141,10000,0,90,0,26.33178455089518,0.45226130653266333,10000,15240.02512562814
0155f91fe242fe55e1af631b0f0afbe9938b185c,179,4673.3575418994415,10000,0,60,1,26.10814269217565,0.33519553072625696,10000,14673.35754189944
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,364,4876.054945054945,10000,0,77,0,13.395755343557541,0.21153846153846154,10000,14876.054945054944
017ec1bbad0d598e5a86ac3bd595b870b6456e61,218,6333.536697247707,10000,0,91,0,29.052920629576636,0.41743119266055045,10000,16333.536697247706
01ad03ec301749c033155fc17e657cc767d447c8,271,5182.265682656826,10000,0,74,0,19.122751596519656,0.2730627306273063,10000,15182.265682656827
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,175,6714.891428571428,10000,0,75,0,38.3708081632653,0.42857142857142855,10000,16714.891428571427
020f253c343856ea875e959023e79fb1d4d9c0a3,3,5619.0,10000,0,2,0,1873.0,0.6666666666666666,10000,15619.0
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,206,5748.398058252427,10000,0,51,0,27.904844942972947,0.24757281553398058,10000,15748.398058252427
024af5e4f76c23e7f08616c60e595453e538a1ba,260,5460.038461538462,10000,0,90,0,21.000147928994085,0.34615384615384615,10000,15460.038461538461
0297fd76b36e100882756e636bb03031255f57da,272,5892.172794117647,10000,0,49,0,21.662399978373703,0.1801470588235294,10000,15892.172794117647
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,177,6998.463276836158,10000,0,71,0,39.53934054709694,0.4011299435028249,10000,16998.46327683616
02f8a629f1a01a476de3944da2860d1c107f1b28,465,4195.25376344086,10000,0,105,0,9.022051104173892,0.22580645161290322,10000,14195.25376344086
