student_id,total_submissions,avg_testcase_passed,max_testcase_passed,min_testcase_passed,scored_submissions,late_submissions
00b6dd4fc7eb817e03708c532016ef30ce564a61,147,5504.149659863946,10000,0,46,0
00bef8afee8f3c595d535c9c03c490cac1a4f021,259,5488.552123552124,10000,0,78,0
01122b3ef7e59b84189e65985305f575d6bdf83c,195,5973.753846153846,10000,0,67,0
0134f9f410c65ad0e8c2254a7e9288670e02a183,100,5952.76,10000,0,47,0
013de369c439ab0ead8aa7da64423aa395a8be39,107,6474.448598130841,10000,0,66,3
014c59c6433fd764a0b08de6ffeb757eaf60aa73,199,5240.025125628141,10000,0,90,0
0155f91fe242fe55e1af631b0f0afbe9938b185c,179,4673.3575418994415,10000,0,60,1
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,364,4876.054945054945,10000,0,77,0
017ec1bbad0d598e5a86ac3bd595b870b6456e61,218,6333.536697247707,10000,0,91,0
01ad03ec301749c033155fc17e657cc767d447c8,271,5182.265682656826,10000,0,74,0
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,175,6714.891428571428,10000,0,75,0
020f253c343856ea875e959023e79fb1d4d9c0a3,3,5619.0,10000,0,2,0
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,206,5748.398058252427,10000,0,51,0
024af5e4f76c23e7f08616c60e595453e538a1ba,260,5460.038461538462,10000,0,90,0
0297fd76b36e100882756e636bb03031255f57da,272,5892.172794117647,10000,0,49,0
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,177,6998.463276836158,10000,0,71,0
02f8a629f1a01a476de3944da2860d1c107f1b28,465,4195.25376344086,10000,0,105,0
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,145,7260.641379310345,10000,0,59,0
0306a80129ed6d5afadece8164929697bbbdea69,76,1907.8947368421052,10000,0,17,0
0341249377940c004d0823408ace7cddbddbc923,294,5634.343537414966,10000,0,84,0
035f97702f2c01d26ab1fae8f39ea2f98a0caa3c,144,5035.763888888889,10000,0,50,0
0367f82909c46a900501cc32d02b913923f75314,12,4153.166666666667,10000,0,3,0
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,170,4438.235294117647,10000,0,53,0
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,35,6285.714285714285,10000,0,21,0
045792bbf5167d31c0064c8520d189a09f276502,214,5104.415887850468,10000,0,71,0
04d32bf7b10a238244d3e1acc3bcf53a449daf99,405,5427.372839506173,10000,0,107,0
04fea422f4b51279771239f896f7acb7224a2def,244,5468.86475409836,10000,0,109,0
04feabadb3e2d863eded075f541be8ff78d50474,199,6581.517587939698,10000,0,82,0
052039d5c5915699359b1d549b36ea69330c0ac3,158,4173.405063291139,10000,0,47,14
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,696,4443.607758620689,10000,0,115,0
05218d5a6d67f5c1d6305dffb907e940260304c1,343,5878.583090379008,10000,0,108,0
0538762f44e8dfb07dc26c8c771f06080b9b2dee,120,5089.925,10000,0,44,0
056711f171807d5b28f83e7afeb3d7e18ec3a5d9,158,4501.177215189873,10000,0,45,0
0577e3c1b0a6df46c7fef07f400b42811cc77250,418,5342.047846889952,10000,0,107,0
057b868ab03f5596f4a8c2e579c401f2fe9a2dfe,41,5206.365853658536,10000,0,21,0
05b134c1a682085880fb7ce76d221a48955e5b8a,235,4316.293617021277,10000,0,73,18
05b7c7d664702d3677ddbf5a03e976e24b16544c,167,4780.2215568862275,10000,0,64,0
05ed34d40112c0d0c446cb9c00fa6e14851a7aa1,351,3144.096866096866,10000,0,58,0
05f7b04136abf33daf80973c0942a91751222e1e,171,6892.9064327485385,10000,0,113,0
0601ede7fba3727ac6cae3653b12cebafea42863,236,6551.978813559322,10000,0,86,0
06024da8147b5cf6105beb4c403f67cf1ff0aea1,8,6778.75,10000,0,5,0
0603b8a222e368a7727190b2883c7ad7b96ce5ac,246,4425.292682926829,10000,0,64,0
061a128e882272cd17340c8feb637cd0ff9e5dbf,195,6179.446153846154,10000,0,80,0
062e8c58d3f85428aeed19095d12dcab6806f2ac,189,5119.084656084656,10000,0,57,0
063c339a318b967ec77cd523f9ae4c62a7afa083,280,4132.303571428572,10000,0,66,0
06490d06037ae75484a0a36a7a46e126b0b49495,206,6390.004854368932,10000,0,92,0
0659d0431565eaacdc601973560ee8331f910947,327,4285.146788990825,10000,0,79,0
06b43a9d40f16603a72a6333318a5086b7bb7e12,276,5594.666666666667,10000,0,91,0
070671333adf94dadc433fcafc872c6301dd0744,158,3490.9493670886077,10000,0,55,0
073de6e606b6b7f3f44a8e8301ee87c3c978a2e2,367,4382.089918256131,10000,0,99,0
076cc92aff4d582b4b87ff0d111496e4a646b12b,178,5188.191011235955,10000,0,70,0
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,173,5540.190751445087,10000,0,57,0
0799ab89dacde8042474f7bfe75a739fd151b73d,39,5384.615384615385,10000,0,20,0
080df7c3716ee6b773c346c67056400fc235ffec,175,6600.96,10000,0,84,0
081cbf0e54173c1b4c90be93a514521bc9c710fb,25,8200.0,10000,0,18,0
081f6737145108d2cfb3e432f03d59670bae3ded,307,4843.456026058632,10000,0,45,0
0821ac06ae77101d7dd9b8dd103f79ffa46657ab,54,4959.722222222223,10000,0,20,0
08399013cfa671c37b50b71ef25f1b2fd606c009,342,4967.830409356725,10000,0,104,0
08838c74dc4154d8f49b1408d27fb46ccb92d329,215,3409.0976744186046,10000,0,54,0
08b8ccf18df77b125fb5306e9ffb55ad284e1872,51,5784.313725490196,10000,0,25,0
091ed1fe8fc042e202205f09f3d49a065c0f4da2,67,5473.2835820895525,10000,0,28,0
092370bceb84374c83ca09e8d8f93c837d923bc7,216,6307.388888888889,10000,0,74,0
09cbbae64d03af8ca53224aaef7657171ba27f50,29,8616.689655172413,10000,0,20,0
09cbe188b9d1e965edf6c1c46a96b9306ec2f329,560,2561.176785714286,10000,0,104,0
0a2c78cee9afdc522c5f0fae46937138f47b152b,128,2555.3984375,10000,0,22,0
0a99205e11c0c6d86b348a926f693d6529e0210f,76,3197.3684210526317,10000,0,19,0
0a9b6ec3e82e8a2527b21eb3420a6d9b72f4f71e,233,5507.733905579399,10000,0,63,36
0aad9682c3c4280eb05dbd27e6cab55f4b1ae4b4,18,5888.277777777777,10000,0,9,5
0aaebc88f6106684d6993c156104c1ef36cf94e0,192,4065.3697916666665,10000,0,50,0
0ac20d28419a43394bc94b257c7aab70e87f1675,179,4669.36312849162,10000,0,51,0
0aee33404db5dc946de8c70be37c6e82582885c6,244,4559.2827868852455,10000,0,71,22
