student_id,total_submissions,avg_testcase_passed,max_testcase_passed,min_testcase_passed,scored_submissions,late_submissions,success_rate,scored_to_total_ratio,testcase_range,total_testcases_passed
75,220,4550.186363636363,10000,0,54,0,20.6826652892562,0.2454545454545454,10000,14550.186363636363
755,3,1153.6666666666667,3461,0,1,0,384.5555555555556,0.3333333333333333,3461,4614.666666666667
86,117,1771.3162393162393,10000,0,23,0,15.139455036890936,0.1965811965811965,10000,11771.316239316238
599,455,5525.178021978022,10000,0,118,0,12.143248399951696,0.2593406593406593,10000,15525.178021978025
143,140,5629.9,10000,0,46,11,40.21357142857143,0.3285714285714285,10000,15629.9
556,334,3278.688622754491,10000,0,64,0,9.816433002258956,0.1916167664670658,10000,13278.688622754493
441,268,5798.962686567164,10000,0,75,19,21.63792047226553,0.2798507462686567,10000,15798.962686567163
378,154,5277.577922077922,10000,0,68,0,34.269986506999494,0.4415584415584415,10000,15277.577922077922
10,3,5619.0,10000,0,2,0,1873.0,0.6666666666666666,10000,15619.0
124,260,5863.392307692307,10000,0,78,0,22.551508875739643,0.3,10000,15863.392307692307
179,105,6355.114285714286,10000,0,58,0,60.52489795918368,0.5523809523809524,10000,16355.114285714286
624,129,6251.635658914729,10000,0,61,0,48.46229192957154,0.4728682170542636,10000,16251.635658914727
502,357,4509.187675070028,10000,0,90,0,12.630777801316604,0.2521008403361344,10000,14509.187675070028
166,322,4403.086956521739,10000,0,112,0,13.67418309478801,0.3478260869565217,10000,14403.08695652174
78,439,4412.510250569476,10000,0,69,2,10.051276197196984,0.1571753986332574,10000,14412.510250569476
644,47,1702.127659574468,10000,0,10,0,36.2154821186057,0.2127659574468085,10000,11702.127659574468
703,263,3271.927756653992,10000,0,61,0,12.440789949254723,0.2319391634980988,10000,13271.927756653991
394,104,4696.951923076923,10000,0,48,0,45.16299926035503,0.4615384615384615,10000,14696.951923076922
572,128,6400.5390625,10000,0,59,0,50.00421142578125,0.4609375,10000,16400.5390625
